gene.id	ensembl.gene.id	chr	gene.symbol	gene.type	length	description	entrez.gene.id	uniprot.id	go.gene.id	X1.tumor.RNA.Illumina	X101.tumor.RNA.Illumina	X102.tumor.RNA.Illumina	X103.tumor.RNA.Illumina	X11.tumor.RNA.Illumina	X12.tumor.RNA.Illumina	X13.tumor.RNA.Illumina	X14.tumor.RNA.Illumina	X15.tumor.RNA.Illumina	X16.tumor.RNA.Illumina	X17.tumor.RNA.Illumina	X18.tumor.RNA.Illumina	X2.tumor.RNA.Illumina	X21.tumor.RNA.Illumina	X22.tumor.RNA.Illumina	X23.tumor.RNA.Illumina	X25.tumor.RNA.Illumina	X26.tumor.RNA.Illumina	X27.tumor.RNA.Illumina	X28.tumor.RNA.Illumina	X29.tumor.RNA.Illumina.88A	X3.tumor.RNA.Illumina	X30.tumor.RNA.Illumina	X31.tumor.RNA.Illumina.92A	X35.tumor.RNA.Illumina	X37.tumor.RNA.Illumina.94A	X38.tumor.RNA.Illumina	X4.tumor.RNA.Illumina	X41.tumor.RNA.Illumina	X42.tumor.RNA.Illumina	X43.tumor.RNA.Illumina	X44.tumor.RNA.Illumina	X47.tumor.RNA.Illumina	X49.tumor.RNA.Illumina	X50.tumor.RNA.Illumina	X54.tumor.RNA.Illumina	X6.tumor.RNA.Illumina	X63.tumor.RNA.Illumina	X64.tumor.RNA.Illumina	X65.tumor.RNA.Illumina	X66.tumor.RNA.Illumina	X68.tumor.RNA.Illumina	X7.tumor.RNA.Illumina	X70.tumor.RNA.Illumina	X71.tumor.RNA.Illumina	X72.tumor.RNA.Illumina	X74.tumor.RNA.Illumina	X75.tumor.RNA.Illumina	X76.tumor.RNA.Illumina.1A	X80.tumor.RNA.Illumina	X81.tumor.RNA.Illumina	X82.tumor.RNA.Illumina	X83.tumor.RNA.Illumina	X84.tumor.RNA.Illumina	X86.tumor.RNA.Illumina	X87.tumor.RNA.Illumina	X88.tumor.RNA.Illumina	X89.tumor.RNA.Illumina	X90.tumor.RNA.Illumina	X92.tumor.RNA.Illumina	X93.tumor.RNA.Illumina	X94.tumor.RNA.Illumina	X95.tumor.RNA.Illumina	X96.tumor.RNA.Illumina	X97.tumor.RNA.Illumina	X98.tumor.RNA.Illumina	X99.tumor.RNA.Illumina	P2.tumor.RNA.Illumina	P3.tumor.RNA.Illumina
ENSG00000186092.7	ENSG00000186092	1	OR4F5	protein_coding	2618	olfactory receptor family 4 subfamily F member 5 [Source:HGNC Symbol;Acc:HGNC:14825]	79501	Q8NH21	Q8NH21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009.6	ENSG00000238009	1	ENSG00000238009	lncRNA	2748	novel transcript	NA	NA	NA	0	1	19	3	1	0	0	0	3	7	0	3	2	1	0	0	30	0	0	2	1	0	17	1	1	1	0	0	3	0	1	0	3	0	0	1	0	1	0	0	2	1	4	0	8	0	0	1	1	2	0	0	0	0	2	3	6	1	0	0	1	2	0	0	0	0	0	0	0
ENSG00000239945.1	ENSG00000239945	1	ENSG00000239945	lncRNA	1319	novel transcript	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750.3	ENSG00000233750	1	CICP27	processed_pseudogene	3812	capicua transcriptional repressor pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:48835]	100420257	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268903.1	ENSG00000268903	1	ENSG00000268903	processed_pseudogene	755	novel pseudogene	NA	NA	NA	112	190	79	140	159	41	172	56	17	405	7	86	234	83	0	10	2681	8	272	61	285	38	219	5	662	231	175	17	84	271	210	86	319	184	69	271	47	38	106	125	41	228	156	21	693	205	35	45	360	210	457	20	19	4	105	496	83	108	310	147	695	353	70	148	241	0	2005	175	106
ENSG00000269981.1	ENSG00000269981	1	ENSG00000269981	processed_pseudogene	284	novel pseudogene	NA	NA	NA	0	153	37	123	48	6	168	56	17	229	5	100	54	110	0	0	158	4	50	71	45	25	269	3	124	163	18	1	61	6	37	15	26	18	0	184	25	25	16	15	22	64	93	11	46	20	0	34	86	31	0	4	16	5	56	435	171	110	82	7	111	350	67	0	16	0	987	18	16
ENSG00000239906.1	ENSG00000239906	1	ENSG00000239906	lncRNA	323	novel transcript	NA	NA	NA	0	0	0	8	1	0	6	0	1	5	0	6	0	0	0	0	0	0	0	7	2	0	13	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	20	4	6	0	0	0	12	3	0	0	0	0	0	0
ENSG00000241860.7	ENSG00000241860	1	ENSG00000241860	lncRNA	4860	novel transcript	NA	NA	NA	0	5	10	5	1	0	0	4	12	4	0	4	8	1	0	0	0	0	0	6	2	3	4	1	1	7	0	1	3	1	2	0	1	1	0	6	2	1	0	0	0	4	8	2	0	2	0	1	2	1	0	5	4	1	4	6	8	7	2	2	9	17	3	0	0	0	19	0	0
ENSG00000222623.1	ENSG00000222623	1	RNU6-1100P	snRNA	104	RNA, U6 small nuclear 1100, pseudogene [Source:HGNC Symbol;Acc:HGNC:48063]	124906683	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599.1	ENSG00000241599	1	ENSG00000241599	lncRNA	457	novel transcript	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928.2	ENSG00000279928	1	DDX11L17	unprocessed_pseudogene	570	DEAD/H-box helicase 11 like 17 _pseudogene_ [Source:HGNC Symbol;Acc:HGNC:55080]	NA	NA	NA	0	4	8	2	10	0	7	3	14	0	2	4	0	0	0	13	13	2	0	1	1	0	0	17	5	0	19	2	0	0	0	0	5	6	0	0	0	2	16	0	0	0	6	0	0	0	0	1	7	0	0	0	19	6	0	8	1	0	4	7	5	11	42	0	0	0	0	19	16
ENSG00000279457.4	ENSG00000279457	1	WASH9P	unprocessed_pseudogene	1397	WAS protein family homolog 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:53981]	NA	NA	NA	82	333	949	209	356	65	189	181	538	810	30	217	202	200	95	24	405	78	93	152	143	120	203	273	305	177	308	64	461	204	146	72	442	340	0	448	73	78	32	123	214	476	106	328	140	134	0	142	247	415	239	241	780	286	317	442	358	85	338	96	343	259	281	13	185	0	307	308	32
ENSG00000273874.1	ENSG00000273874	1	MIR6859-2	miRNA	68	microRNA 6859-2 [Source:HGNC Symbol;Acc:HGNC:49954]	102465909	NA	NA	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	3	0	0	0	0	0	0
ENSG00000228463.10	ENSG00000228463	1	ENSG00000228463	transcribed_processed_pseudogene	5603	ribosomal protein L23a _RPL23A_ pseudogene	728481	NA	NA	0	14	35	11	5	6	16	17	57	31	2	30	5	59	9	12	27	19	0	17	18	4	24	32	16	27	0	24	10	3	4	1	10	4	0	5	3	8	0	9	3	20	8	5	5	8	0	9	9	31	7	4	15	22	40	34	6	31	35	6	34	1	33	0	12	0	20	0	0
ENSG00000286448.1	ENSG00000286448	1	ENSG00000286448	lncRNA	736	novel transcript	NA	NA	NA	0	0	0	0	4	0	0	7	0	1	0	2	0	1	1	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	7	0	0	0	1	2	20	3	1	0	1	0	0	2	2	11	3	0	40	0	0	0	0	0	0
ENSG00000236679.2	ENSG00000236679	1	RPL23AP24	processed_pseudogene	385	ribosomal protein L23a pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:36176]	728517	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601.2	ENSG00000236601	1	ENSG00000236601	lncRNA	994	novel transcript	NA	NA	NA	0	0	0	3	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	2	0	0	21	3	0	0	12	3	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	13	4	0	0	12	0	1	1	1	0	0	0	3	2	77	0	0	0	0	0	0
ENSG00000290385.1	ENSG00000290385	1	ENSG00000290385	lncRNA	902	novel transcript	NA	NA	NA	93	11	1	87	6	9	40	12	15	12	12	32	26	83	1	0	5	20	0	73	5	16	108	4	2	52	3	3	9	0	0	0	0	2	0	54	14	27	5	0	7	28	39	2	10	0	0	15	4	5	8	6	4	73	15	95	261	36	0	0	2	34	41	0	0	0	12	3	5
ENSG00000269732.1	ENSG00000269732	1	WBP1LP7	processed_pseudogene	363	WBP1L pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:43955]	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733.2	ENSG00000284733	1	OR4F29	protein_coding	939	olfactory receptor family 4 subfamily F member 29 [Source:HGNC Symbol;Acc:HGNC:31275]	81399	A0A126GV92	A0A126GV92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094.13	ENSG00000237094	1	ENSG00000237094	transcribed_unprocessed_pseudogene	183	pseudogene similar to part of septin 14 SEPT14	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653.3	ENSG00000233653	1	CICP7	processed_pseudogene	2477	capicua transcriptional repressor pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:37756]	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575.1	ENSG00000250575	1	ENSG00000250575	unprocessed_pseudogene	1239	novel pseudogene	NA	NA	NA	0	0	0	0	1	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	4	2	0	0	0	0	0	2	0	0	1	2	0	2	0	0	0	1	1	4	0	4	0	0	0	6	0	0
ENSG00000278757.1	ENSG00000278757	1	U6	snRNA	104	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	124906683	NA	NA	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021.10	ENSG00000230021	1	ENSG00000230021	transcribed_processed_pseudogene	1702	septin 14 _SEPT14_ pseudogene	124901156	NA	NA	99	10	10	27	9	0	9	8	18	7	4	15	3	24	7	0	14	17	0	4	2	2	15	42	46	29	15	6	21	2	0	0	24	81	0	21	15	5	2	0	7	2	11	0	11	2	0	8	2	102	0	2	30	14	33	15	32	18	4	0	13	16	12	0	0	0	37	15	2
ENSG00000235146.2	ENSG00000235146	1	ENSG00000235146	lncRNA	607	novel transcript	NA	NA	NA	0	0	2	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	4	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	12	1	3	1	0	0	0	0	0	0	18	0	0	0	0	0	0
ENSG00000225972.1	ENSG00000225972	1	MTND1P23	unprocessed_pseudogene	372	MT-ND1 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:42092]	100887749	NA	NA	17	4	219	33	39	65	25	59	29	104	25	14	84	14	9894	9	20	11	66	12	34	19	48	152	690	171	56	15	52939	39	56	54	6854	4670	5	143	21	2	159	129	63	176	22	32	65	47	106	58	183	1586	316	16	343	58204	1003	296	7685	12	1325	620	1002	23	8	123	390	0	140	56	159
ENSG00000225630.1	ENSG00000225630	1	MTND2P28	unprocessed_pseudogene	1044	MT-ND2 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:42129]	100652939	NA	NA	12696	93	8513	8500	6041	12518	5247	8758	8646	22744	9070	2604	6576	5721	2358	1953	5067	3664	230	7133	3351	2927	5988	19123	34981	13945	1425	5108	13922	821	196	9689	498	68377	709	9299	8619	5736	25461	99	456	4487	5513	117	26	87	5800	552	2727	24224	4508	122	8214	43216	53461	100072	76	245	16321	89472	13570	131	102	386	17155	0	20459	1425	25461
ENSG00000237973.1	ENSG00000237973	1	MTCO1P12	unprocessed_pseudogene	1543	MT-CO1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52014]	107075141	NA	NA	7933	708	5318	4628	2137	7503	4964	4922	8406	6176	3927	3744	8306	2548	6041	2060	1312	2680	5362	2128	3027	2357	2700	4716	39629	6491	13201	3403	178418	10504	9746	4051	67339	37240	3175	5352	4765	1221	20729	5674	5594	4263	3161	2680	6736	3224	5143	6417	7684	31717	4663	2243	4681	8905	22227	8006	1516	2312	21804	38900	16893	3249	1443	9260	24214	0	13661	13201	20729
ENSG00000278791.1	ENSG00000278791	1	ENSG00000278791	miRNA	89		NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	277	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	15	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0
ENSG00000229344.1	ENSG00000229344	1	MTCO2P12	unprocessed_pseudogene	682	MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028]	107075310	NA	NA	22	1	57	42	57	86	33	26	58	96	40	17	114	31	24	63	15	13	1	27	19	22	36	48	43226	33	98	48	53	37	8	756	1957	49301	3	34	63	23	291	2	2	39	25	3	0	2	67	4	34	25084	2865	1	72	123	36642	114	4	3	232	129	108	5	8	67	79	0	137	98	291
ENSG00000240409.1	ENSG00000240409	1	MTATP8P1	unprocessed_pseudogene	207	MT-ATP8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44571]	106480795	NA	NA	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	2	0	0	7	1	5	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	4	0	0	1	1	6	0	0	0	1	48	2	0	0	0	0	0	1	0	0
ENSG00000248527.1	ENSG00000248527	1	MTATP6P1	unprocessed_pseudogene	681	MT-ATP6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44575]	106480796	NA	NA	80912	17451	45258	46972	48727	127789	37728	41754	58898	139701	65311	29697	195462	43404	21902	17590	48058	30284	56976	11701	35761	34256	41516	75275	442016	57513	72371	67302	82349	22460	94115	31363	282627	453096	15621	53670	103982	23925	427283	32183	82478	61271	43774	60518	31212	34949	47074	104408	47302	281056	42799	36863	79210	139987	278024	77728	30242	68254	192285	86606	96119	23381	33163	9246	124653	66	167505	72371	427283
ENSG00000198744.5	ENSG00000198744	1	MTCO3P12	unprocessed_pseudogene	547	MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042]	107075270	NA	NA	38	5	46	43	30	66	30	11	19	113	32	20	91	24	14	25	12	1266	24	13	17	17	21	72	13018	41	50	31	35	8	41	206	309	10702	7	27	66	9	207	25	69	62	13	31	11	24	10	80	61	5248	21	15	155	86	312	19020	8	45	225	173	139	11	7	5	100	0	96	50	207
ENSG00000268663.1	ENSG00000268663	1	WBP1LP6	processed_pseudogene	424	WBP1L pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:43956]	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662.2	ENSG00000284662	1	OR4F16	protein_coding	939	olfactory receptor family 4 subfamily F member 16 [Source:HGNC Symbol;Acc:HGNC:15079]	81399	A0A126GV92	A0A126GV92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376.3	ENSG00000229376	1	CICP3	processed_pseudogene	2455	capicua transcriptional repressor pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37742]	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000291215.1	ENSG00000291215	1	ENSG00000291215	lncRNA	6469	novel transcript	NA	NA	NA	80	45	95	195	90	23	112	137	159	304	20	119	35	145	28	25	24	41	11	93	13	45	152	49	83	119	61	54	277	5	8	14	18	36	0	191	72	16	23	16	32	36	74	24	24	6	0	41	24	42	26	22	202	158	67	140	213	125	46	4	30	194	62	0	16	0	114	61	23
ENSG00000223181.1	ENSG00000223181	1	RNU6-1199P	snRNA	104	RNA, U6 small nuclear 1199, pseudogene [Source:HGNC Symbol;Acc:HGNC:48162]	106480091	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229905.1	ENSG00000229905	1	ENSG00000229905	lncRNA	456	novel transcript	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327.6	ENSG00000228327	1	ENSG00000228327	transcribed_unprocessed_pseudogene	417	general transcription factor IIi _GTF2I_ pseudogene	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237491.10	ENSG00000237491	1	LINC01409	lncRNA	2949	long intergenic non-protein coding RNA 1409 [Source:HGNC Symbol;Acc:HGNC:50701]	NA	NA	NA	0	17	87	125	41	2	84	38	113	88	26	42	36	61	21	5	59	8	14	29	39	21	55	17	45	23	71	11	49	63	20	13	16	105	0	83	19	7	14	21	34	60	57	25	25	34	0	19	26	150	25	38	161	39	21	62	83	44	63	15	139	34	52	0	5	0	47	71	14
